,UID,Choice,Course Code,Final Writeup,predict_recommend
71,C35A14W1,1,C35,"i would like to gain business and financial knowledge and in the same time learn about programming, and know how technology are affecting the business world. Even though i do not have much experience in programming and coding but i am really interested to learn more about it. In the future, i would like to work as a business analyst or set up my own business . I am a team player which make it a good aspect in this course as communication and collaboration is important here, and it will also help me to build a strong foundation in terms of innovation and technology. I am the vice-captain of my school CCA, Wushu, which make me learn about how collaboration and working as a team is really important , i am able to perservere throughout challenges and overcome them. In my experience in leading a team, i learn to be open-minded and take personal responsibility seriously. I have participate in various competition such as Chinese speech competition, Wushu and Science Elementz(ALP) and got a bronze award for it. In Science Elementz competition, i have made and designed a automatic cooking machine for elderly and learn how to program the system with the help of my teachers. I have been the emcee for school events such as prize presentation and Chinese new year celebration which helps me to be confident and eloquent. During my secondary 4 school camp while we are hiking up the Gunung Pulai Mountain, i am able to be determined and cooperative with my peers which make me a team player. I have achieved edusave awards such as EAGLES and Merit bursary.",0
72,C35A15W1,1,C35,"My interest in Business and Financial Technology kindled as I saw how the advent of technology has made this course a viable and suitable choice for me. I have interest in the world of digital marketing and entrepreneurship which has led me to consider this course. I am intrigued by data analytics as well as cloud computing and hope to learn more about them as well as how they have impacted the business and financial world. I have satiated my curiosity by choosing computing as my elective. However, i do believe I am ready to learn more and I feel that this course will help me achieve that goal I have been a student Councillor since my first year in secondary school as such i have been given many opportunities to not only engage in councillor duties but also organize events for my school such as CNY and Teacher's day celebrations. I am also a senior patrol leader in Scouts and i have displayed enough adequate leadership skill to be selected to facilitate an external leadership camp. I have participated in many events for both my school and my CCA, so much so that i have gotten awards for my number of service hours. In one case i was interviewed by a newspaper regarding my participation in a ""Keep SG Clean movement"". I have been an integral factor as to how my scouts troop has achieved the Frank Cooper Sands (Gold) award for four consecutive years as well as have achieved a NYAA Silver. Being a leader I have been given the chance to go on overseas trip to places such as Malaysia and Hong Kong where i learnt and exchanged cultural differences with the locals there.",1
73,C35A16W1,1,C35,"I am interested in this course because I want to know more about how technology can help with managing Finance. I am suitable for this course as I learnt Principles of Accounts in Secondary 3 and 4. This course will help me achieve my aspirations of working in the Finance Technology Industry. I was the vice-chairperson in my school's Infocomm Club from 2018-2019. We participated in a number of competitions on behalf of the school, such as the photo essay category in the Schools Digital Media Awards at the national level in 2016. We were awarded a silver award. Other than that, we also took part in the Anti-Drug Video Campaign at the national level in 2018 and were awarded a merit award. I took part in Singapore and Asian Schools Math Olympiad for 2 years straight and achieved a certificate of participation. I have received Edusave certificates for academic achievement and the Edusave Merit Award organised by the Northwest CDC in 2016. In 2015, I achieved the EAGLES Award and the Edusave Good Progress Award in 2014, both organised by the North West CDC.",0
74,C35A16W2,2,C54,"I am interested in this course as I have always been fascinated by people doing programming and want to know more about cybersecurity, such as tracking down the hacker's cyber footprint and the importance of protecting our network. I know some things about cybersecurity and I was in the Infocomm Club in my Secondary School for four years. Thus, I want to fulfil my aspirations of working in the technology industry through this course. I was the vice-chairperson in my school's Infocomm Club from 2018-2019. We participated in a number of competitions on behalf of the school, such as the photo essay category in the Schools Digital Media Awards at the national level in 2016. We were awarded a silver award. Other than that, we also took part in the Anti-Drug Video Campaign at the national level in 2018 and were awarded a merit award. I took part in Singapore and Asian Schools Math Olympiad for 2 years straight and achieved a certificate of participation. I have received Edusave certificates for academic achievement and the Edusave Merit Award organised by the Northwest CDC in 2016. In 2015, I achieved the EAGLES Award and the Edusave Good Progress Award in 2014, both organised by the North West CDC.",0
75,C35A17W1,1,C35,"i was inspired by my friend who took Financial and Business studies in University .Her frequent sharing of her course sparked my curiosity and i was keen to find out more about the course.As my i grew up watching my grandparents sell and trade fruits for living ,this make me wanted to know more about how business and financial technology can help to sell and trade .In order to make things easier for my grandparent and the same time improving the living standard of my grandparent when things can be done using the knowledge of business and financial technology . Took up O Level mother tongue and O level science in 2014 and 2015 respectively .Participated in Commonwealth Essay in 2016.Was a Character and leadership Education Mentor in 2016 .Represented Girl Brigade for Combined Uniform Group Oversea Camp at Batam in 2015.Promoted from Recruit to Staff Sergeant from2014-2018.Took up Girls Brigade Admin role in 2016 .An instructor for secondary 4 Girls Brigade March Camp in 2017.Planning community for both Girl Brigade and class Value in action Spring cleaning and funding for kidney foundation.Joining Girls Brigade as helper in 2019 as well as helper for 2019 Girls Brigade March Camp",0
76,C35A18W1,1,C35,"I'm passionate to pursue a career in finance. In this day and age, there's a need to be updated with the technological skills along with domain knowledge as Singapore is a smart nation, therefore, I strongly feel that this course augurs well for my future goals. Especially subjects such as blockchain, app development along with finance subjects cater my interests as theses are the new aggressive developments in the digital era. Knowledge in finance and technology will keep me in good stead in seeking employment in financial organisations and also opens up entrepreneurial avenues. Having taken up leadership roles I was the Vice- chairperson of my class in 2017, Sectional leader and Vice-President of my CCA (Choir) 2018-2019. I lead my CCA team patiently and I highly believe in working together as a team because without team coordination success is unreachable. With these roles, I was able to motivate my CCA-mates and got 2 Certificates of Distinctions for Singapore Youth Festival and a Platinum award for B-dazzled. Even with the absence of these leadership roles, I found myself seizing every opportunity to prove myself as a leader. I enjoy being among crowds and interacting with new people. I took part in a student exchange programme and hosted Japanese students and went over to Japan to represent my school. I also participated in Advanced Elective Modules in RP for Hospitality and NYP for Business Management. I enjoy discussing current socio-ecomic and environmental affairs and participating in group discussions on how the financial world is evolving with time.",1
77,C35A18W3,3,C43,"This course focuses on statistics and IT. I have always been passionate in these areas. With the ever-evolving technology it's essential for us to be updated with the current technologies. I am keen to learn subjects such as big data management, decision science and business statistics among the others. Upon my research, I realized that there is an abundance of data which can be made sense with statistical techniques and IT skills. I strongly believe that this course will equip me with the necessary skill set to influence businesses take smarter day to day and strategic decisions. Having taken up leadership roles I was the Vice- chairperson of my class in 2017, Sectional leader and Vice-President of my CCA (Choir) 2018-2019. I lead my CCA team patiently and I highly believe in working together as a team because without team coordination success is unreachable. With these roles, I was able to motivate my CCA-mates and got 2 Certificates of Distinctions for Singapore Youth Festival and a Platinum award for B-dazzled. Even with the absence of these leadership roles, I found myself seizing every opportunity to prove myself as a leader. I enjoy being among crowds and interacting with new people. I took part in a student exchange programme and hosted Japanese students and went over to Japan to represent my school. I also participated in Advanced Elective Modules in RP for Hospitality and NYP for Business Management. I enjoy discussing current socio-ecomic and environmental affairs and participating in group discussions on how the financial world is evolving with time.",1
78,C35A19W1,1,C35,"As a user of modern technology, I have a desire to contribute to the technological sector. I want to create technology that make the lives of others more advanced and convenient. Being born in the 21st century, I do have technology literacy skill and is internet-savvy. Also, as a Principle of Accounting student in Upper Secondary, I have business knowledge. I believe that business knowledge and technology literacy skill will equip me with the fundamentals and skills, along with learning about web development and cloud computing during the course, in pursuing my dream career in tech innovator. Being a member of the Badminton Club, I was in the Upper Secondary Executive Committee (EXCO) and my role was the Secondary Four In-Charge. In Secondary Four, I was the class treasurer. I would collect class fund every month. Also, I was the subject representative for Chemistry. My role was to help the Chemistry teacher collect and distribute worksheets. This shows that I am responsible and can be trusted to take on important matters. In 2018, I received an Edusave Good Progress Award. I also did some community service as part of the VIA programme in school: Mozzie Wipeout Programme in 2017, overseas learning in Vietnam last year as part of the Global Canberran Programme along with visiting the hospice earlier this year. In my Badminton Club, I am part of Team Nila, an organisation that comprises of sports volunteers who contribute to the community. As a Badminton club, we partner with Team Nila and visit Metta home for the disabled on alternate weeks and play Badminton with them.",1
79,C35A19W2,2,C80,"I am interested in digital security. Recently, my email account got hacked. As I want personal data of everyone to be safe and secure, I want to have Infocomm security skills so as to prevent personal data breach. With the newest pillar of defence: digital defence added recently, digital security is crucial in our digital future. Living in a digital generation, I want to be able to help contribute to digital security and ensure that digital users are free of hackers. This course will help me achieve my aim of becoming a network security engineer in the security sector in the future. Being a member of the Badminton Club, I was in the Upper Secondary Executive Committee (EXCO) and my role was the Secondary Four In-Charge. In Secondary Four, I was the class treasurer. I would collect class fund every month. Also, I was the subject representative for Chemistry. My role was to help the Chemistry teacher collect and distribute worksheets. This shows that I am responsible and can be trusted to take on important matters. In 2018, I received an Edusave Good Progress Award. I also did some community service as part of the VIA programme in school: Mozzie Wipeout Programme in 2017, overseas learning in Vietnam last year as part of the Global Canberran Programme along with visiting the hospice earlier this year. In my Badminton Club, I am part of Team Nila, an organisation that comprises of sports volunteers who contribute to the community. As a Badminton club, we partner with Team Nila and visit Metta home for the disabled on alternate weeks and play Badminton with them.",1
80,C35A20W2,2,C35,of the modules offered in this course.My brother takes the same course.He learns about business and also about technology.He learns how to code and also knows how to create his own website.I also attended a 3 day coding workshop where i learned the basic of it.I have a strong passion for business and technology as they play a big part in the world.Business is a skill i wish to have as it benefits me as i can better analyze data and also make proper financial decision.Technology will be a great way to boost business as i will be able to create websites to advertise my business NIL,0
81,C35A21W2,2,C35,"I got a glance of what financial reports looked like when I was in Secondary 2 and that inspired me to know more about the financial sector. At the same time, my father had often done reports for his company and he often shows them to me. There on, I felt really intrigued by it. I slowly helped my family with finances eventually. Being good at numbers also reassured me that I would like to continue building up my skills in finance, eventually to be able to analyse them. As such, I aspire to be an entrepreneur as I take on the course. 1) Secondary 3- Principles of Accounts Representative the Values in Action (VIA) program)  2) Secondary 5- Vice-chairperson (Led",0
82,C35A21W3,3,C43,"I got a glance of what financial reports looked like when I was in Secondary 2 and that inspired me to know more about the financial sector. At the same time, my father had often done reports for his company and he often shows them to me. There on, I felt really intrigued by it. I slowly helped my family with finances eventually. Being good at numbers also reassured me that I would like to continue building up my skills in finance, eventually to be able to analyse them. As such, I aspire to be an entrepreneur as I take on the course. 1) Secondary 3- Principles of Accounts Representative the Values in Action (VIA) program)  2) Secondary 5- Vice-chairperson (Led",0
83,C35A22W2,2,C35,"I am extremely captivated by the FinTech industry as it has made lives more convenient, for example the development of internet banking which allows one to make transactions online instead of going to an ATM. This struck passion in me to find ways which makes daily spendings effortless through further advancements in FinTech. I am intrigued by how the stock market works as I have used a demo account on ""Plus500"" online market to trade. Thus, I believe that in NYP, I will be able to gain exposure and insightful knowledge about FinTech as I aspire to work in the FinTech industry in the future. As an extrovert by heart, I took the role of the class community champion position in school for 2 years as I find it compelling to be able to take part in events outside of school. As a student who loves community service, I was awarded the EAGLES award for the countless VIA activities I have took part in. Proudly to say I am a team player, I attained a gold medal with my taekwondo teammates for my CCA interschool competition. Having determination and perserverance in studies and character, i attained the Most Improved In Academics and Most Improved In Behaviour Award.",0
84,C35A23W2,2,C35,"When i was secondary 2 at the age of 14, i opened up a small business with the help of my father to sell unwanted items in our house hold and turn them into profits on an e-commercial site called carousell. For the past 2 years i have branched out into selling fashion wear and even bicycle parts to earn small amounts of profits. This site has been really important in teaching me many things like how to analyse the market to sell my items at the right price, knowing how to promote my listings to many more interested customers and many more. Hence, i would like to further excel in this aspect. For the first few year of my secondary school life, i was in the sport cca known as wushu. Although it was a very short time of only about a year, i learnt many values and characters from my coaches and seniors. I learnt about the values of self discipline and perseverance. I learnt from them how to never give up even when you come face to face with major challenges. I then got transferred to another sport cca known as floorball, where i learnt even more values and characters in which i wasnt able to before.Being a senior in the cca, it instilled in me sense of responsibility to teach and grow together with my fellow secondary 1 friends. It taught me how to be patient with them and how to not give up even though it was frustrating at times. I was also given the opportunity to represent my school and compete twice in both the C and B division. These 2 competition really taught me the sense of having sportsmanship, all of the players were humble and respected each other .",0
85,C35A24W2,2,C35,"I am interested in this course as I have a flair for online businesses. Paired with a creative mindset, I am sure to succeed in this course. I already have an e-commerce account on a site called 'Carousell' where I often sell my bike parts. This site let me be familiarized with studying the market prices, knowing how to promote my items, and developed better problemsolving skills. For example, I often face insincere buyers for my items, thus I made it so deposits were required for them to reserve my items which worked very effectively. However, I still have areas for improvement. I served as the vice-president of the class committee which made me more responsible.",0
86,C35A25W2,2,C35,"I have interest in this course because it is a course that combines finance and IT. I have no relevant skills about IT or finance but I hope to develop in this area.I have attended financial literacy workshop in school and learnt about valuable life skills such as personal financing planning.From that,I have found out that my passion for career is about financial or IT.My sister graduated from IT,she shared with me about her experiences,upon hearing them,I am sure that i want to get in this course.I hope to learn and find out more details about fintech in this course and have a future with it. I am the squad leader in Girls brigade(GB) CCA, student councillor in my school. I attended activities such as emerging leaders camp, Gb award ceremony(represented school), GB adventure camp, Sec3 outdoor adventure camp, GB thanksgiving Camp, GB friendship day(represented school) and GB enrolment service(represented school). I represented school to take part in historical scene investigation challenge and The Young Historian Award. I represented school to take part in GB LGT challenge and obtained a silver award in 2017. I represented school to take part in ICAS Maths competition in 2017 and 2018. I just completed my grade 8 piano level this year in both practical and theory. I represented my school to take part in chinese creative writing competition. I took part in my schools youth run competition and i got 9th position in 2017 and 2019, 10th position in 2018. I helped out in Singapore Sec Sch debating competition, VIA at endeavour pri sch student care centre and Sec one orientation.",0
88,C35A27W1,1,C54,"My social games and dad visa payment was hacked.Worlds common citizen faces illegal hacking and disrupt everyday lives in transportation,power,communication,financial.World news highlighted corporate espionage and cyber wars,undermined integrity.I joined Apple free class on coding robotics and NYP boot camp June 2019 Cyber Security network,program python.It has given me an exciting feel to be part of a meaningful effort to keep the world secure.With my rich diverse experiences in life,I believe Cybersecurity fits my life purpose to serve the society and contribute to our future as a nation. Age 4 stayed in China,self-learning mandarin and culture.Enjoy maths and science as puzzle games.Build courage in karate to 5th grade red belt.Disciplined,I submit homework timely and concurrently,create exam/learning notes.As class chairperson to help fellow classmates,teachers and promote teamwork.Dec 2018 joined McDonalds built confidence facing customers,worked alone in drive-thru as cashier/order/serving/cleaning/beverages.Working weekends challenges between school,work and family.Customers are demanding and orders are complicated.Repeating order helps simplify and with cashier screen instruction was helpful.I achieved food hygiene certificate.School given opportunities distributing food to needy residents;in Willing Hearts,we help wash dishes,pack food into disposable boxes;and,flag day collecting donations to raise funds for those less fortunate.Exploring different experiences gave me a wider picture of life.Interestingly,how connected society and supporting each other everyday",0
89,C35A27W2,2,C35,"Enjoyed maths,science,principles of account. My social games trading rewards among players,sold my built portfolio account are business.Discovering Fintech to promote business,financial like e-commerce,digital marketing,blockchain and automate financial free us to think of the next global revolutionary business opportunities.Joined Apple free class on coding robotics,participated NYP boot camp June 2019 Cyber Security network,programme python.With this course,I like to learn and build tools for fusion of business and technology to promote financial analytics,identify hidden opportunities. Age 4 stayed in China,self-learning mandarin and culture.Enjoy maths and science as puzzle games.Build courage in karate to 5th grade red belt.Disciplined,I submit homework timely and concurrently,create exam/learning notes.As class chairperson to help fellow classmates,teachers and promote teamwork.Dec 2018 joined McDonalds built confidence facing customers,worked alone in drive-thru as cashier/order/serving/cleaning/beverages.Working weekends challenges between school,work and family.Customers are demanding and orders are complicated.Repeating order helps simplify and with cashier screen instruction was helpful.I achieved food hygiene certificate.School given opportunities distributing food to needy residents;in Willing Hearts,we help wash dishes,pack food into disposable boxes;and,flag day collecting donations to raise funds for those less fortunate.Exploring different experiences gave me a wider picture of life.Interestingly,how connected society and supporting each other everyday",1
90,C35A28W2,2,C35,"Personally loving statistic, I find that Financial Informatics peaks my interest. I love working with data as data is limitless. With the uprising trend of cryptocurrency, it has sparked an interest in me as different cryptocurrency has different values. Which means that it will has it ups and downs, and noticing these changes are what makes me interested in cryptocurrency. This course will enhance my skills and allow me to understand more about Financial Informatics as a whole. NYP being reputable for IT, I think its the perfect place to pursue this passion of mine in Nanyang Polytechnic. As part of my school's badminton team, I was given opportunities to participate in inter-school competitions such as the NSG Badminton CHampionships B Division Boys (North Zone) for 2 years and Frisbee Tournaments. I was chosen to help organise Jalan Kayu CSC to organize a badminton event that will bond people living around Jalan Kayu and volunteered to visit NKF centers and old folks home to interact and get to know more about the lives of the patients and elderly. I was also involved in my school's annual fund-raising carnival for non-profitable organisations. I also reached out to collect non-perishable food items for the needy , I also reached out to residents of Ang Mo Kio to educate them about the risks and prevention measures of dengue.",0
91,C35A29W2,2,C35,"I have always been keen in learning about the business industry since young. I learn the value of risk taking when i took the first step to start a business by selling metal straws while creating awareness about the earth in 2018.By starting the business i learnt how to market/sell my product and manage my inventory using google spreadsheet. It taught me the value of management skills and technical skills. I have participated in the National Cashflow Competition 2019 and the Global Money Week Competition 2019. I hope to join this course to gain the necessary business knowledge. In 2015, received certificates for participating in Singapore Youth Festival for my CCA (ELDDS) and also received a certificate for completing Camp Ignite.In 2016, i received certificates for doing an ICT sharing at Kranji secondary school, completing Youth Leaders Camp in Ngee Ann Polytechnic and being appointed as a member of the One Advocates.In 2017, i was in Huayi Secondary School Soccer Team and was appointed as the captain and received certificates for being appointed as the class vice-chairperson, vice-president of the One Advocates, participation in Huayi Secondary school cultural immersion programme and completing the UBSCampVision Lead.In 2018, i received a certificate for organising a leadership bonding day. Throughout 2015-2018 i became the facilitator for secondary one orientation camp and in 2019 was the IC for the camp.In 2019, i received certificates for participating in National Cashflow Competition and Global Money Week Competition.",0
92,C35A30W2,2,C35,"I selected this course as my first choice as I have always been amazed by how technology have changed the world of business, such examples include that of Grab and Uber changing and transforming our way of transportation. I have been intrigued by blockchain technology such as Bitcoin and even invested in some of this cryptocurrencies. I have a keen interest in learning about such technologies and hope that by attending this course I would be able to learn important skills and venture into a career in the digital world. I love to innovate and would want to change how we live through this course I have taken part in the inter-school NPCC badminton competition and came in second overall, fighting off various worthy competitors. I even initiated various trainings during the school holidays in order to prepare my team better for the competition.We worked well together as a team of 4 and this allowed us to achieve second place and I am very proud of my team. I am a team player and loves to work as a team, and believe that I can be counted on upon tasks that are thrown at me. I am also one that likes to face up to various challenges and am willing to take feedbacks in order for me to work on my weaknesses and to grow as a person. I also participated in various community work in elderly homes such as that of going to Saint Theresa's Home to volunteer,. Through my experience there, I realise the importance of giving back to society and that through this I would like to innovate and create something that is beneficial to society and not only for the monetary benefits that it brings.",1
93,C35A31W2,2,C35,"I am interested in Business and Financial Technology because I wanted to learn more about computing and data analysis and also discover more about financial and business information. When I watch dramas and movies, I am mesmerized by the people who uses computers to analyse data. I am very curious and willing to learn more of the digital economy. I will be determined and confident that this course can allow me to gain skills to contribute to my future company. For my performing arts of concert band, I have attended a few competitions which are National Band Competition in 2016 and Singapore Youth Festival in 2017 and 2019. Certificate of achievement had been given for all competitions. I have been selected to become a uniform manager which was responsible in taking care of the band uniforms and collecting the uniforms from my fellow band members, together with another uniform manager. We work together to make sure that every band members have their uniforms and wear it professionally during the competitions. Apart from my CCA, I have a job which is my mother is running a stationary business and I will helped her during the holidays. When I was working, I have learnt to be determination, responsible and diligent. My personal abilities are graciousness, integrity, self-discipline and cheerful. In my school, I had been awarded self-discipline award and graciousness award from the Semestral Exemplary Admiral Award.",0
94,C35A32W2,2,C35,"I find the new technology intriguing.The upcoming computerization revolution has introduced so many new technologies which will prove useful for speed and security in privacy for daily use.Holding experience in managing and leading teams in sales as well as sales itself,I want to see and learn how new technologies will benefit trade and business and potentially use my knowledge from this course in my future endeavour and pursuit of a business life.I want to help people with my knowledge.A concept I am highly intrigued in is the recently popular Blockchain I really want to learn deeper about. Business: Worked as a leader of a promotion and sales team at SpeechAcademy Asia for 7 months. Choir CCA: Section leader, EXCO member. Attained certificate of achievement in SYF 2017 and 2019. The Vocal Consort External Choir: Christmas carolling at city areas such as Shangri la hotel in 2016. Sang Dick Lee's 'The Nyonya Journey' with the Singapore Chinese Orchestra conducted by Tsung Yeh at the SCO Hall in 2016. Dance Passion: Performed at PULSE! Street Dance Competition 2017 and 2018 as top 8 shortlisted teams. Volunteer: Volunteered at National Day Ceremony Parade at Punggol CC in 2016 and 2017. Flyer distribution and mascot work for Punggol CC Blood Drive in 2017. Leadership: Member of Prefectorial board from 2016 to 2019. Vice-Head of Advocates in School's Social Studies Signature Programme for the needy in 2018. Class chairperson in 2016. Took AEM in Connecting Trade and Business with Logistics at Ngee Ann Poly with a pass with commendation and Module in Digital Marketing.",0
95,C35A32W3,3,C54,"I want to help society tackle cyber crimes.As a vivid internet user and electronic devices enthusiast,I have personally been hacked multiple times when I was younger and lost a significant amount of money to these hacks.I started finding solutions to prevent such hacks and recover my accounts and while doing so,read up on a lot of information about cyber crimes which really appealed to me.From Ddos attacks to data breaches,I learnt that no device is perfectly secure.I wish to take what I learn from this course and use it to prevent and reduce cybercrime such as hack and financial scams. Business: Worked as a leader of a promotion and sales team at SpeechAcademy Asia for 7 months. Choir CCA: Section leader, EXCO member. Attained certificate of achievement in SYF 2017 and 2019. The Vocal Consort External Choir: Christmas carolling at city areas such as Shangri la hotel in 2016. Sang Dick Lee's 'The Nyonya Journey' with the Singapore Chinese Orchestra conducted by Tsung Yeh at the SCO Hall in 2016. Dance Passion: Performed at PULSE! Street Dance Competition 2017 and 2018 as top 8 shortlisted teams. Volunteer: Volunteered at National Day Ceremony Parade at Punggol CC in 2016 and 2017. Flyer distribution and mascot work for Punggol CC Blood Drive in 2017. Leadership: Member of Prefectorial board from 2016 to 2019. Vice-Head of Advocates in School's Social Studies Signature Programme for the needy in 2018. Class chairperson in 2016. Took AEM in Connecting Trade and Business with Logistics at Ngee Ann Poly with a pass with commendation and Module in Digital Marketing.",0
96,C35A33W2,2,C35,"I am always looking forward to math and a-math classes as I like learning new things and putting my knowledge to the test with advance questions. With this knowledge, I would love to enhance it. Technology is growing really fast and now part of most people's lives around the world. With the fast growing world, I will be able to then adapt to the latest updates and unexpected situations. I would want to know more about how technology is changing organisation operating systems in the world. I hope to learn more about business and financial technology in the 3 years I am a member of softball since primary school and played both centre fielder in primary school and 1st baseman in secondary school. II represented my school softball team at the both the C and B Divisions and achieved 3rd placing for two consecutive years (2017 and 2018). I am a member of softball since primary school and played both centre fielder in primary school and 1st baseman in secondary school. I am interested in football as well and played for an unofficial club. We took part in various competition like Sunday league and Okto Cup. My team won 3rd place in my school's inter class football competition in 2017. I also performed in the 2017 NDP celebration.",0
97,C35A34W3,3,C35,"This course will allow me to take on jobs in business. As the world advanced technology is used in business. I would also like to learn digital marketing and I would also like to learn more about digital through internships. I was also in NCC and that has taught me basic skills needed in group projects  becomes more advanced, more more about fintech and technology in business discipline and teamwork I was awarded the model student award for displaying exemplary character and displaying correct values. The Commendation award for excellent performance in holistic development I have also been awarded the Year Master Honour role for meritorious performance in the Secondary 3 Normal Academic Course, in Secondary 2 I have also been awarded the Edusave Good Progress Award. I have also been awarded certificate of Academic Achievement and Merit Bursary for good academic performance and demonstrating good conduct by the Grassroots Organisation. I have also completed a Business Management Module and a Advanced Elective Module in Fundamentals of Infocomm Security. In my CCA, NCC I have participated in the SAR 21 Live Rabge Shooting in 2017 and I have also been awarded a certificate for having attended the Senior Specialist Leader Course I have also participated in two community chest events to visit elderlies and raise money for their old folks home.",0
98,C35A35W3,3,C35,"Fascinated by my Father and Brother creating websites and applications and working with systems and databases, I have always been curious on how they are programmed. Therefore, during my leisure time, I learnt how to code with HTML, CSS and SQL. With the skills gained, I applied them by creating a webpage introducing myself. I feel that being knowledgeable in finance and business is important as blockchain and FinTech are the next big thing. By enrolling in this course, I will be equipped with knowledge in Business, Finance, and Technology which are the most important skills in today's world. Last year, I represented my school for the All Singapore Secondary Mathematics Competition. I received the Edusave Certificate of Academic Achievement (2016-2018) and Edusave EAGLES Award (2018). I am a Staff Sergeant and Squad Leader in The Girls' Brigade. As an NCO, I organised camps and led the company. I participated in competitions such as the Low Guat Tin Challenge where I led a team of 15 to conquer obstacles and won the gold award. I clinched the 1st place in the Inter-UG Drill competition and achieved Bronze in the National Drill Competition. During the annual GB Friendship Day, I interacted and engaged in activities with seniors and people with special needs to strengthen intergeneration connections and built understanding of different communities. I volunteered at the CHR community eye care project in Batam providing locals with eye care assessments and spectacles prescription. I was also part of the organising committee and led a volunteer project to SWAMI home.",0
99,C35A36W3,3,C35,"I am always curious about the business industry, especially businesses with technology such as online business. Hence I started selling merchandise on an online platform, Carousell, since 2018. Although there are many factors affecting the sales, it was still a great experience and I hope I can learn more with the help of this course. The main reason why I chose this course is because, I want to learn how to help businesses thrive using the internet. Also, I am interested to learn various skills such as digital marketing and data analytics which are crucial for a business to be successful. I volunteered at the Hospice Care (Kang Le) from 2017 to 2019 as part of my school VIA project. I am also part of the Care by Chung Cheng, where we reach out to the elderlys for a helping hand. I am a NPCC cadet and attained a Staff Sergeant rank. I participate in events such as the Drill competition, Campcraft competition and last but not least, .22 Revolver Shooting competition. In 2018, I was appointed as the vice-captain of my team and we won the 36th place in the inter-unit Campcraft Competition. In 2017, I was part of the Guards-of-Honour contingent in the school National Day Parade. I also represented the school in the Taekwondo inter-school competition for 2 years and in 2016, my team won the 3rd place. I was assigned to be an event coordinator for the CCA carnival in 2017. I also took part in numerous courses such as Crime Prevention, Anti drug, Civil Defence and Kayaking. Lastly, I was part of the Guards-of-Honour contingent in the school 78th Anniversary in 2017.",0
100,C35A37W3,3,C35,"I am good in problem solving, analyzing and computing. My earlier aspiration is to get a Business course but with recent advancements in technology, I learnt that businesses big or small thrive with how they use Technology. Revenues and growth are driven by efficiencies achieved through the use of latest technologies like Artificial Intelligence, Big Data and Machine Learning to name a few. I am very interested to learn how these technologies are used through practical applications which is how Nan Yang Polytechnic teaches their students. I have completed 2018 N-level examination with distinctions in Maths, Advance Math, Science and POA. In primary school I participated in various Athletic events like Milo Annual Youth Triathlon. In swimming I was awarded Gold. In secondary school, I have participated in numerous individual and team Sports competitions and events such as the following: - 1st runner up Basket Ball League 2017 (Inter-School) North Zone B Division - 7th Place Cross Country Run Montfort 2019 and 10th place on previous year - 2nd place Inter-house Football 2016 I am also involved in community works and members of various youth organisation - Treasurer, St. Annes Church Legion of Mary (Sec 1 to present) - Served in Church Confirmation Camp - Youth For Christ (YFC) member and 2019 Youth Camp Service Team Member - Volunteer at Saint Joseph's Home for the aged - Hosted children in Minds for Montfort 100 Having attended these events, I learnt the values of compassion, sportsmanship, respect and responsibility.",0
101,C35A38W3,3,C35,"I am interested in this course because the digital economy has transformed substantially in the last 3 years, hence I feel that this course will allow me to gain insights on how to keep up with the transformational changes of today's economy, in the way services are being used and the way businesses should respond. I feel that this course will give me exposure to the digital economy and how it can benefit businesses. I believe that taking on this Business and Financial Technology Diploma will enable countless opportunities for me in the future. I have taken part in the inter-school south zone for badminton and was on the school team for 2 years, I have also volunteered community work at elderly homes, lions home.",0
102,C35A39W1,1,C43,"Seeing how businesses have flourished or failed has always made me admire the importance of analyzing data. I want to study data and digital movements, and learn to translate those into useful information for decision-making. Studying graphic design and visual communication in my free time has made me understand the importance of customers' and readers' needs. Being the chairman of my CCA and vice-chairman of my class in secondary school has helped develop my leadership and communication skills. I believe these will aid me greatly when studying BIA and pursuing my career in the future. During my secondary school years, I actively participated in my CCA, Green Club, and class activities. I was the chairperson of Green Club in 2016 and worked closely with the teacher-incharge with administrative matters for activities and for both school and local events. We engaged with the National Environment Agency frequently and helped to make sculptures for an event at Gardens By The Bay. Through these, I learnt how to communicate my ideas effectively to members and teachers of the club. I was also the vice-chairperson of my class in 2014; I attended leadership training sessions and they helped me to refine my leadership skills. In my free time I study graphic design and visual communication by myself. In 2017, I created a blog to help people create wallpapers for their computers/mobile phones, and managed to get 4000 followers. I helped a few companies design name cards and in 2018, I designed banners and posters for the boss of my part-time job at that time.",0
